date,state,avg_temp_c,rainfall_mm,humidity_pct,wind_speed_mps
1975-01,Andhra Pradesh,26.7,11.52,52.45,2.73
1975-02,Andhra Pradesh,30.56,1.11,72.41,2.02
1975-03,Andhra Pradesh,29.64,51.62,50.62,1.99
1975-04,Andhra Pradesh,30.83,6.12,80.78,1.43
1975-05,Andhra Pradesh,28.04,15.51,72.68,2.58
1975-06,Andhra Pradesh,25.4,24.03,75.01,5.94
1975-07,Andhra Pradesh,20.65,32.4,49.13,3.24
1975-08,Andhra Pradesh,19.04,24.49,50.2,1.1
1975-09,Andhra Pradesh,17.44,26.66,64.66,1.27
1975-10,Andhra Pradesh,18.19,19.88,72.99,1.51
1975-11,Andhra Pradesh,23.19,8.76,47.0,3.68
1975-12,Andhra Pradesh,24.69,30.36,50.57,5.04
1976-01,Andhra Pradesh,27.69,5.84,58.91,4.75
1976-02,Andhra Pradesh,29.35,25.47,75.04,2.74
1976-03,Andhra Pradesh,30.85,24.2,83.59,4.32
1976-04,Andhra Pradesh,29.4,7.69,63.0,3.89
1976-05,Andhra Pradesh,27.78,4.11,67.95,1.01
1976-06,Andhra Pradesh,24.0,3.61,80.44,2.79
1976-07,Andhra Pradesh,22.55,19.82,82.18,4.45
1976-08,Andhra Pradesh,20.07,12.03,75.16,5.62
1976-09,Andhra Pradesh,18.68,9.42,46.05,1.14
1976-10,Andhra Pradesh,19.68,25.36,67.11,5.21
1976-11,Andhra Pradesh,21.09,12.28,83.78,3.81
1976-12,Andhra Pradesh,23.86,27.16,79.54,4.74
1977-01,Andhra Pradesh,26.91,6.15,49.85,1.22
1977-02,Andhra Pradesh,29.87,13.78,67.39,1.06
1977-03,Andhra Pradesh,30.16,4.48,74.75,1.98
1977-04,Andhra Pradesh,30.01,22.82,54.59,3.47
1977-05,Andhra Pradesh,27.58,35.74,45.74,1.35
1977-06,Andhra Pradesh,24.91,72.92,57.69,5.94
1977-07,Andhra Pradesh,21.19,2.35,74.81,4.35
1977-08,Andhra Pradesh,20.54,14.16,70.19,2.05
1977-09,Andhra Pradesh,18.39,29.14,70.58,3.62
1977-10,Andhra Pradesh,18.68,14.66,74.4,4.86
1977-11,Andhra Pradesh,21.79,24.48,67.27,5.58
1977-12,Andhra Pradesh,24.64,5.22,69.17,3.75
1978-01,Andhra Pradesh,29.1,23.04,50.05,1.68
1978-02,Andhra Pradesh,29.6,11.82,78.08,1.08
1978-03,Andhra Pradesh,30.51,10.84,77.38,2.72
1978-04,Andhra Pradesh,28.7,18.29,78.79,5.53
1978-05,Andhra Pradesh,28.16,63.96,56.43,3.45
1978-06,Andhra Pradesh,22.61,14.15,62.35,5.04
1978-07,Andhra Pradesh,21.54,27.08,52.36,4.94
1978-08,Andhra Pradesh,18.99,10.43,72.16,5.59
1978-09,Andhra Pradesh,18.64,20.56,78.15,3.87
1978-10,Andhra Pradesh,19.23,4.18,75.0,5.29
1978-11,Andhra Pradesh,22.36,29.48,57.91,4.35
1978-12,Andhra Pradesh,25.55,1.45,61.06,2.59
1979-01,Andhra Pradesh,26.6,5.99,72.11,1.99
1979-02,Andhra Pradesh,31.65,2.32,80.2,5.52
1979-03,Andhra Pradesh,29.63,5.26,79.2,3.64
1979-04,Andhra Pradesh,30.57,21.18,65.76,4.85
1979-05,Andhra Pradesh,28.84,5.36,47.73,2.89
1979-06,Andhra Pradesh,26.95,23.58,72.54,3.85
1979-07,Andhra Pradesh,21.02,15.16,54.0,3.96
1979-08,Andhra Pradesh,18.07,24.8,55.28,1.55
1979-09,Andhra Pradesh,18.25,16.64,53.33,2.24
1979-10,Andhra Pradesh,17.91,13.47,54.35,1.51
1979-11,Andhra Pradesh,22.61,0.36,69.87,3.72
1979-12,Andhra Pradesh,26.44,7.34,53.88,3.6
1980-01,Andhra Pradesh,27.9,29.18,66.54,5.33
1980-02,Andhra Pradesh,29.32,40.23,76.98,1.17
1980-03,Andhra Pradesh,31.49,28.51,55.28,4.16
1980-04,Andhra Pradesh,30.58,35.8,76.31,5.95
1980-05,Andhra Pradesh,26.92,8.47,66.66,5.87
1980-06,Andhra Pradesh,24.06,44.25,59.23,1.13
1980-07,Andhra Pradesh,24.1,23.86,59.66,5.31
1980-08,Andhra Pradesh,18.63,35.3,62.68,3.91
